,BOP_confirmed,BOP_deaths,BOP_hospitalized,BOP_recovered,JHU_confirmed,JHU_deaths,JHU_recovered,NIHFogarty_confirmed,NIHFogarty_deaths,NIHFogarty_hospitalized,Tencent_confirmed,Tencent_deaths,Tencent_recovered,Tencent_suspected
2020-01-22 00:00:00,,,,,0,0,0,,,,,,,
2020-01-23 00:00:00,,,,,0,0,0,,,,,,,
2020-01-24 00:00:00,,,,,0,0,0,,,,,,,
2020-01-25 00:00:00,,,,,0,0,0,,,,,,,
2020-01-26 00:00:00,,,,,0,0,0,,,,,,,
2020-01-27 00:00:00,,,,,0,0,0,,,,,,,
2020-01-28 00:00:00,,,,,0,0,0,,,,,,,
2020-01-29 00:00:00,,,,,0,0,0,,,,,,,
2020-01-30 00:00:00,,,,,0,0,0,,,,,,,
2020-01-31 00:00:00,,,,,0,0,0,,,,,,,
2020-02-01 00:00:00,,,,,0,0,0,,,,,,,
2020-02-02 00:00:00,,,,,0,0,0,,,,,,,
2020-02-03 00:00:00,,,,,0,0,0,,,,,,,
2020-02-04 00:00:00,,,,,0,0,0,,,,,,,
2020-02-05 00:00:00,,,,,0,0,0,,,,,,,
2020-02-06 00:00:00,,,,,0,0,0,,,,,,,
2020-02-07 00:00:00,,,,,0,0,0,,,,,,,
2020-02-08 00:00:00,,,,,0,0,0,,,,,,,
2020-02-09 00:00:00,,,,,0,0,0,,,,,,,
2020-02-10 00:00:00,,,,,0,0,0,,,,,,,
2020-02-11 00:00:00,,,,,0,0,0,,,,,,,
2020-02-12 00:00:00,,,,,0,0,0,,,,,,,
2020-02-13 00:00:00,,,,,0,0,0,,,,,,,
2020-02-14 00:00:00,,,,,0,0,0,,,,,,,
2020-02-15 00:00:00,,,,,0,0,0,,,,,,,
2020-02-16 00:00:00,,,,,0,0,0,,,,,,,
2020-02-17 00:00:00,,,,,0,0,0,,,,,,,
2020-02-18 00:00:00,,,,,0,0,0,,,,,,,
2020-02-19 00:00:00,,,,,0,0,0,,,,,,,
2020-02-20 00:00:00,,,,,0,0,0,,,,,,,
2020-02-21 00:00:00,,,,,0,0,0,,,,,,,
2020-02-22 00:00:00,,,,,0,0,0,,,,,,,
2020-02-23 00:00:00,,,,,0,0,0,,,,,,,
2020-02-24 00:00:00,,,,,0,0,0,,,,,,,
2020-02-25 00:00:00,1.0,0.0,0.0,0.0,0,0,0,,,,,,,
2020-02-26 00:00:00,,,,,1,0,0,,,,,,,
2020-02-27 00:00:00,,,,,1,0,0,,,,,,,
2020-02-28 00:00:00,3.0,0.0,1.0,0.0,3,0,0,,,,,,,
2020-02-29 00:00:00,,,,,3,0,0,,,,,,,
2020-03-01 00:00:00,,,,,3,0,0,,,,,,,
2020-03-02 00:00:00,,,,,3,0,0,,,,,,,
2020-03-03 00:00:00,4.0,0.0,1.0,0.0,3,0,0,,,,,,,
2020-03-04 00:00:00,,,,,4,0,1,,,,,,,
2020-03-05 00:00:00,,,,,6,0,1,,,,,,,
2020-03-06 00:00:00,,,,,9,0,1,,,,,,,
2020-03-07 00:00:00,6.0,0.0,2.0,0.0,9,0,3,,,,,,,
2020-03-08 00:00:00,,,,,15,0,3,,,,,,,
2020-03-09 00:00:00,8.0,0.0,2.0,0.0,15,0,3,,,,,,,
2020-03-10 00:00:00,,,,,25,0,3,,,,,,,
2020-03-11 00:00:00,,,,,45,0,6,,,,,,,
2020-03-12 00:00:00,,,,,49,0,6,,,,,,,
2020-03-13 00:00:00,,,,,89,0,7,,,,,,,
2020-03-14 00:00:00,,,,,123,0,9,,,,,,,
2020-03-15 00:00:00,,,,,131,0,9,,,,,,,
2020-03-16 00:00:00,,,,,158,0,9,,,,,,,
2020-03-17 00:00:00,,,,,184,0,16,,,,,,,
2020-03-18 00:00:00,,,,,260,0,19,,,,,,,
2020-03-19 00:00:00,,,,,277,0,25,,,,,,,
2020-03-20 00:00:00,,,,,308,0,25,,,,,,,
